                   EZNEC Pro/2+ ver. 7.0

Cardioid                                     7/5/2023     12:28:50 PM

         --------------- FAR FIELD PATTERN DATA ---------------

Frequency = 299.793 MHz

   Reference = 0 dBi

Elevation Pattern   Azimuth angle = 0 deg.
 Deg      V dB      H dB      Tot dB    V Pha     H Pha
  0        5.19    -99.99      5.19      88.16      0.00
  1        5.19    -99.99      5.19      88.15      0.00
  2        5.18    -99.99      5.18      88.13      0.00
  3        5.17    -99.99      5.17      88.10      0.00
  4        5.16    -99.99      5.16      88.05      0.00
  5        5.14    -99.99      5.14      87.99      0.00
  6        5.12    -99.99      5.12      87.91      0.00
  7        5.09    -99.99      5.09      87.82      0.00
  8        5.06    -99.99      5.06      87.72      0.00
  9        5.03    -99.99      5.03      87.60      0.00
 10        4.99    -99.99      4.99      87.47      0.00
 11        4.95    -99.99      4.95      87.33      0.00
 12        4.91    -99.99      4.91      87.17      0.00
 13        4.86    -99.99      4.86      87.00      0.00
 14        4.81    -99.99      4.81      86.81      0.00
 15        4.75    -99.99      4.75      86.62      0.00
 16        4.69    -99.99      4.69      86.41      0.00
 17        4.62    -99.99      4.62      86.18      0.00
 18        4.55    -99.99      4.55      85.94      0.00
 19        4.48    -99.99      4.48      85.69      0.00
 20        4.40    -99.99      4.40      85.43      0.00
 21        4.32    -99.99      4.32      85.15      0.00
 22        4.23    -99.99      4.23      84.86      0.00
 23        4.14    -99.99      4.14      84.56      0.00
 24        4.05    -99.99      4.05      84.25      0.00
 25        3.95    -99.99      3.95      83.92      0.00
 26        3.84    -99.99      3.84      83.58      0.00
 27        3.74    -99.99      3.74      83.23      0.00
 28        3.62    -99.99      3.62      82.86      0.00
 29        3.51    -99.99      3.51      82.49      0.00
 30        3.38    -99.99      3.38      82.10      0.00
 31        3.26    -99.99      3.26      81.70      0.00
 32        3.12    -99.99      3.12      81.28      0.00
 33        2.99    -99.99      2.99      80.86      0.00
 34        2.85    -99.99      2.85      80.42      0.00
 35        2.70    -99.99      2.70      79.97      0.00
 36        2.55    -99.99      2.55      79.52      0.00
 37        2.39    -99.99      2.39      79.05      0.00
 38        2.23    -99.99      2.23      78.56      0.00
 39        2.06    -99.99      2.06      78.07      0.00
 40        1.88    -99.99      1.88      77.57      0.00
 41        1.70    -99.99      1.70      77.06      0.00
 42        1.52    -99.99      1.52      76.53      0.00
 43        1.33    -99.99      1.33      76.00      0.00
 44        1.13    -99.99      1.13      75.46      0.00
 45        0.92    -99.99      0.92      74.90      0.00
 46        0.71    -99.99      0.71      74.34      0.00
 47        0.49    -99.99      0.49      73.76      0.00
 48        0.27    -99.99      0.27      73.18      0.00
 49        0.04    -99.99      0.04      72.59      0.00
 50       -0.20    -99.99     -0.20      71.99      0.00
 51       -0.45    -99.99     -0.45      71.38      0.00
 52       -0.70    -99.99     -0.70      70.76      0.00
 53       -0.97    -99.99     -0.97      70.13      0.00
 54       -1.24    -99.99     -1.24      69.49      0.00
 55       -1.52    -99.99     -1.52      68.85      0.00
 56       -1.81    -99.99     -1.81      68.20      0.00
 57       -2.11    -99.99     -2.11      67.53      0.00
 58       -2.42    -99.99     -2.42      66.87      0.00
 59       -2.74    -99.99     -2.74      66.19      0.00
 60       -3.07    -99.99     -3.07      65.51      0.00
 61       -3.41    -99.99     -3.41      64.82      0.00
 62       -3.77    -99.99     -3.77      64.12      0.00
 63       -4.14    -99.99     -4.14      63.42      0.00
 64       -4.52    -99.99     -4.52      62.71      0.00
 65       -4.92    -99.99     -4.92      61.99      0.00
 66       -5.34    -99.99     -5.34      61.27      0.00
 67       -5.77    -99.99     -5.77      60.54      0.00
 68       -6.22    -99.99     -6.22      59.80      0.00
 69       -6.69    -99.99     -6.69      59.06      0.00
 70       -7.19    -99.99     -7.19      58.32      0.00
 71       -7.70    -99.99     -7.70      57.57      0.00
 72       -8.25    -99.99     -8.25      56.81      0.00
 73       -8.82    -99.99     -8.82      56.05      0.00
 74       -9.43    -99.99     -9.43      55.29      0.00
 75      -10.07    -99.99    -10.07      54.52      0.00
 76      -10.75    -99.99    -10.75      53.74      0.00
 77      -11.48    -99.99    -11.48      52.97      0.00
 78      -12.26    -99.99    -12.26      52.19      0.00
 79      -13.11    -99.99    -13.11      51.40      0.00
 80      -14.03    -99.99    -14.03      50.61      0.00
 81      -15.04    -99.99    -15.04      49.82      0.00
 82      -16.16    -99.99    -16.16      49.03      0.00
 83      -17.42    -99.99    -17.42      48.23      0.00
 84      -18.87    -99.99    -18.87      47.44      0.00
 85      -20.56    -99.99    -20.56      46.64      0.00
 86      -22.60    -99.99    -22.60      45.83      0.00
 87      -25.21    -99.99    -25.21      45.03      0.00
 88      -28.85    -99.99    -28.85      44.22      0.00
 89      -34.99    -99.99    -34.99      43.42      0.00
 90      -99.99    -99.99    -99.99       0.00      0.00
 91      -35.23    -99.99    -35.23    -138.20      0.00
 92      -29.34    -99.99    -29.34    -139.01      0.00
 93      -25.94    -99.99    -25.94    -139.82      0.00
 94      -23.58    -99.99    -23.58    -140.64      0.00
 95      -21.77    -99.99    -21.77    -141.45      0.00
 96      -20.33    -99.99    -20.33    -142.26      0.00
 97      -19.13    -99.99    -19.13    -143.07      0.00
 98      -18.12    -99.99    -18.12    -143.88      0.00
 99      -17.24    -99.99    -17.24    -144.69      0.00
100      -16.48    -99.99    -16.48    -145.50      0.00
101      -15.81    -99.99    -15.81    -146.31      0.00
102      -15.21    -99.99    -15.21    -147.12      0.00
103      -14.68    -99.99    -14.68    -147.92      0.00
104      -14.21    -99.99    -14.21    -148.73      0.00
105      -13.78    -99.99    -13.78    -149.53      0.00
106      -13.39    -99.99    -13.39    -150.33      0.00
107      -13.05    -99.99    -13.05    -151.13      0.00
108      -12.74    -99.99    -12.74    -151.93      0.00
109      -12.46    -99.99    -12.46    -152.73      0.00
110      -12.20    -99.99    -12.20    -153.52      0.00
111      -11.98    -99.99    -11.98    -154.32      0.00
112      -11.78    -99.99    -11.78    -155.10      0.00
113      -11.60    -99.99    -11.60    -155.89      0.00
114      -11.45    -99.99    -11.45    -156.68      0.00
115      -11.31    -99.99    -11.31    -157.46      0.00
116      -11.20    -99.99    -11.20    -158.24      0.00
117      -11.10    -99.99    -11.10    -159.01      0.00
118      -11.02    -99.99    -11.02    -159.79      0.00
119      -10.96    -99.99    -10.96    -160.56      0.00
120      -10.91    -99.99    -10.91    -161.33      0.00
121      -10.89    -99.99    -10.89    -162.10      0.00
122      -10.87    -99.99    -10.87    -162.86      0.00
123      -10.88    -99.99    -10.88    -163.62      0.00
124      -10.89    -99.99    -10.89    -164.38      0.00
125      -10.93    -99.99    -10.93    -165.14      0.00
126      -10.97    -99.99    -10.97    -165.90      0.00
127      -11.04    -99.99    -11.04    -166.65      0.00
128      -11.11    -99.99    -11.11    -167.41      0.00
129      -11.21    -99.99    -11.21    -168.16      0.00
130      -11.31    -99.99    -11.31    -168.91      0.00
131      -11.44    -99.99    -11.44    -169.67      0.00
132      -11.57    -99.99    -11.57    -170.42      0.00
133      -11.73    -99.99    -11.73    -171.18      0.00
134      -11.89    -99.99    -11.89    -171.94      0.00
135      -12.08    -99.99    -12.08    -172.70      0.00
136      -12.28    -99.99    -12.28    -173.47      0.00
137      -12.49    -99.99    -12.49    -174.25      0.00
138      -12.72    -99.99    -12.72    -175.03      0.00
139      -12.97    -99.99    -12.97    -175.82      0.00
140      -13.24    -99.99    -13.24    -176.62      0.00
141      -13.52    -99.99    -13.52    -177.44      0.00
142      -13.83    -99.99    -13.83    -178.27      0.00
143      -14.15    -99.99    -14.15    -179.12      0.00
144      -14.49    -99.99    -14.49    -180.00      0.00
145      -14.86    -99.99    -14.86     179.10      0.00
146      -15.24    -99.99    -15.24     178.17      0.00
147      -15.65    -99.99    -15.65     177.19      0.00
148      -16.09    -99.99    -16.09     176.18      0.00
149      -16.55    -99.99    -16.55     175.11      0.00
150      -17.03    -99.99    -17.03     173.97      0.00
151      -17.55    -99.99    -17.55     172.76      0.00
152      -18.09    -99.99    -18.09     171.47      0.00
153      -18.67    -99.99    -18.67     170.06      0.00
154      -19.27    -99.99    -19.27     168.53      0.00
155      -19.92    -99.99    -19.92     166.84      0.00
156      -20.60    -99.99    -20.60     164.97      0.00
157      -21.32    -99.99    -21.32     162.88      0.00
158      -22.08    -99.99    -22.08     160.51      0.00
159      -22.87    -99.99    -22.87     157.80      0.00
160      -23.71    -99.99    -23.71     154.68      0.00
161      -24.58    -99.99    -24.58     151.06      0.00
162      -25.47    -99.99    -25.47     146.84      0.00
163      -26.38    -99.99    -26.38     141.89      0.00
164      -27.27    -99.99    -27.27     136.11      0.00
165      -28.11    -99.99    -28.11     129.42      0.00
166      -28.86    -99.99    -28.86     121.83      0.00
167      -29.47    -99.99    -29.47     113.48      0.00
168      -29.88    -99.99    -29.88     104.71      0.00
169      -30.09    -99.99    -30.09      95.94      0.00
170      -30.10    -99.99    -30.10      87.65      0.00
171      -29.96    -99.99    -29.96      80.19      0.00
172      -29.72    -99.99    -29.72      73.74      0.00
173      -29.43    -99.99    -29.43      68.34      0.00
174      -29.14    -99.99    -29.14      63.93      0.00
175      -28.85    -99.99    -28.85      60.42      0.00
176      -28.61    -99.99    -28.61      57.70      0.00
177      -28.41    -99.99    -28.41      55.68      0.00
178      -28.26    -99.99    -28.26      54.29      0.00
179      -28.17    -99.99    -28.17      53.47      0.00
180      -28.14    -99.99    -28.14      53.20      0.00
181      -28.17    -99.99    -28.17      53.47      0.00
182      -28.26    -99.99    -28.26      54.29      0.00
183      -28.41    -99.99    -28.41      55.68      0.00
184      -28.61    -99.99    -28.61      57.70      0.00
185      -28.85    -99.99    -28.85      60.42      0.00
186      -29.14    -99.99    -29.14      63.93      0.00
187      -29.43    -99.99    -29.43      68.34      0.00
188      -29.72    -99.99    -29.72      73.74      0.00
189      -29.96    -99.99    -29.96      80.19      0.00
190      -30.10    -99.99    -30.10      87.65      0.00
191      -30.09    -99.99    -30.09      95.94      0.00
192      -29.88    -99.99    -29.88     104.71      0.00
193      -29.47    -99.99    -29.47     113.48      0.00
194      -28.86    -99.99    -28.86     121.83      0.00
195      -28.11    -99.99    -28.11     129.42      0.00
196      -27.27    -99.99    -27.27     136.11      0.00
197      -26.38    -99.99    -26.38     141.89      0.00
198      -25.47    -99.99    -25.47     146.84      0.00
199      -24.58    -99.99    -24.58     151.06      0.00
200      -23.71    -99.99    -23.71     154.68      0.00
201      -22.87    -99.99    -22.87     157.80      0.00
202      -22.08    -99.99    -22.08     160.51      0.00
203      -21.32    -99.99    -21.32     162.88      0.00
204      -20.60    -99.99    -20.60     164.97      0.00
205      -19.92    -99.99    -19.92     166.84      0.00
206      -19.27    -99.99    -19.27     168.53      0.00
207      -18.67    -99.99    -18.67     170.06      0.00
208      -18.09    -99.99    -18.09     171.47      0.00
209      -17.55    -99.99    -17.55     172.76      0.00
210      -17.03    -99.99    -17.03     173.97      0.00
211      -16.55    -99.99    -16.55     175.11      0.00
212      -16.09    -99.99    -16.09     176.18      0.00
213      -15.65    -99.99    -15.65     177.19      0.00
214      -15.24    -99.99    -15.24     178.17      0.00
215      -14.86    -99.99    -14.86     179.10      0.00
216      -14.49    -99.99    -14.49    -180.00      0.00
217      -14.15    -99.99    -14.15    -179.12      0.00
218      -13.83    -99.99    -13.83    -178.27      0.00
219      -13.52    -99.99    -13.52    -177.44      0.00
220      -13.24    -99.99    -13.24    -176.62      0.00
221      -12.97    -99.99    -12.97    -175.82      0.00
222      -12.72    -99.99    -12.72    -175.03      0.00
223      -12.49    -99.99    -12.49    -174.25      0.00
224      -12.28    -99.99    -12.28    -173.47      0.00
225      -12.08    -99.99    -12.08    -172.70      0.00
226      -11.89    -99.99    -11.89    -171.94      0.00
227      -11.73    -99.99    -11.73    -171.18      0.00
228      -11.57    -99.99    -11.57    -170.42      0.00
229      -11.44    -99.99    -11.44    -169.67      0.00
230      -11.31    -99.99    -11.31    -168.91      0.00
231      -11.21    -99.99    -11.21    -168.16      0.00
232      -11.11    -99.99    -11.11    -167.41      0.00
233      -11.04    -99.99    -11.04    -166.65      0.00
234      -10.97    -99.99    -10.97    -165.90      0.00
235      -10.93    -99.99    -10.93    -165.14      0.00
236      -10.89    -99.99    -10.89    -164.38      0.00
237      -10.88    -99.99    -10.88    -163.62      0.00
238      -10.87    -99.99    -10.87    -162.86      0.00
239      -10.89    -99.99    -10.89    -162.10      0.00
240      -10.91    -99.99    -10.91    -161.33      0.00
241      -10.96    -99.99    -10.96    -160.56      0.00
242      -11.02    -99.99    -11.02    -159.79      0.00
243      -11.10    -99.99    -11.10    -159.01      0.00
244      -11.20    -99.99    -11.20    -158.24      0.00
245      -11.31    -99.99    -11.31    -157.46      0.00
246      -11.45    -99.99    -11.45    -156.68      0.00
247      -11.60    -99.99    -11.60    -155.89      0.00
248      -11.78    -99.99    -11.78    -155.10      0.00
249      -11.98    -99.99    -11.98    -154.32      0.00
250      -12.20    -99.99    -12.20    -153.52      0.00
251      -12.46    -99.99    -12.46    -152.73      0.00
252      -12.74    -99.99    -12.74    -151.93      0.00
253      -13.05    -99.99    -13.05    -151.13      0.00
254      -13.39    -99.99    -13.39    -150.33      0.00
255      -13.78    -99.99    -13.78    -149.53      0.00
256      -14.21    -99.99    -14.21    -148.73      0.00
257      -14.68    -99.99    -14.68    -147.92      0.00
258      -15.21    -99.99    -15.21    -147.12      0.00
259      -15.81    -99.99    -15.81    -146.31      0.00
260      -16.48    -99.99    -16.48    -145.50      0.00
261      -17.24    -99.99    -17.24    -144.69      0.00
262      -18.12    -99.99    -18.12    -143.88      0.00
263      -19.13    -99.99    -19.13    -143.07      0.00
264      -20.33    -99.99    -20.33    -142.26      0.00
265      -21.77    -99.99    -21.77    -141.45      0.00
266      -23.58    -99.99    -23.58    -140.64      0.00
267      -25.94    -99.99    -25.94    -139.82      0.00
268      -29.34    -99.99    -29.34    -139.01      0.00
269      -35.23    -99.99    -35.23    -138.20      0.00
270      -99.99    -99.99    -99.99       0.00      0.00
271      -34.99    -99.99    -34.99      43.42      0.00
272      -28.85    -99.99    -28.85      44.22      0.00
273      -25.21    -99.99    -25.21      45.03      0.00
274      -22.60    -99.99    -22.60      45.83      0.00
275      -20.56    -99.99    -20.56      46.64      0.00
276      -18.87    -99.99    -18.87      47.44      0.00
277      -17.42    -99.99    -17.42      48.23      0.00
278      -16.16    -99.99    -16.16      49.03      0.00
279      -15.04    -99.99    -15.04      49.82      0.00
280      -14.03    -99.99    -14.03      50.61      0.00
281      -13.11    -99.99    -13.11      51.40      0.00
282      -12.26    -99.99    -12.26      52.19      0.00
283      -11.48    -99.99    -11.48      52.97      0.00
284      -10.75    -99.99    -10.75      53.74      0.00
285      -10.07    -99.99    -10.07      54.52      0.00
286       -9.43    -99.99     -9.43      55.29      0.00
287       -8.82    -99.99     -8.82      56.05      0.00
288       -8.25    -99.99     -8.25      56.81      0.00
289       -7.70    -99.99     -7.70      57.57      0.00
290       -7.19    -99.99     -7.19      58.32      0.00
291       -6.69    -99.99     -6.69      59.06      0.00
292       -6.22    -99.99     -6.22      59.80      0.00
293       -5.77    -99.99     -5.77      60.54      0.00
294       -5.34    -99.99     -5.34      61.27      0.00
295       -4.92    -99.99     -4.92      61.99      0.00
296       -4.52    -99.99     -4.52      62.71      0.00
297       -4.14    -99.99     -4.14      63.42      0.00
298       -3.77    -99.99     -3.77      64.12      0.00
299       -3.41    -99.99     -3.41      64.82      0.00
300       -3.07    -99.99     -3.07      65.51      0.00
301       -2.74    -99.99     -2.74      66.19      0.00
302       -2.42    -99.99     -2.42      66.87      0.00
